ida,idb,kmdist
CUB,THA,15962
CUB,KHM,16119
CUB,LAO,15495
CUB,VNM,16106
CUB,DRV,15015
CUB,RVN,16109
CUB,MYS,17061
CUB,SGP,17232
CUB,BRN,16417
CUB,PHL,15149
CUB,IDN,17861
CUB,ETM,16616
CUB,AUS,14889
CUB,PNG,14502
CUB,NZL,12707
CUB,VAN,12763
CUB,SLB,13273
CUB,FJI,11682
CUB,MSI,11571
CUB,PAL,14747
CUB,FSM,12628
CUB,WSM,12134
HTI,USA,2286
HTI,CAN,2979
HTI,BHS,727
HTI,CUB,1152
HTI,DOM,246
HTI,JAM,480
HTI,TTO,1478
HTI,BRB,1497
HTI,DMA,1307
HTI,GRN,1354
HTI,SLU,1307
HTI,SVG,1333
HTI,AAB,1128
HTI,SKN,1023
HTI,BLZ,1679
HTI,MEX,2817
HTI,GTM,1983
HTI,HND,1674
HTI,SLN,1873
HTI,NIC,1664
HTI,CRI,1596
HTI,PAN,1323
HTI,COL,1568
HTI,VEN,1116
HTI,GUY,2014
HTI,SUR,2342
HTI,ECU,2177
HTI,PER,3448
HTI,BRA,4621
HTI,BOL,3887
HTI,PRY,5116
HTI,CHL,5750
HTI,ARG,6037
HTI,URY,6107
HTI,UK,7185
HTI,IRL,6759
HTI,NLD,7507
HTI,BEL,7480
HTI,LUX,7613
HTI,FRA,7343
HTI,MNC,7770
HTI,LIE,7888
HTI,CHE,7735
HTI,ESP,6888
HTI,AND,7307
HTI,PRT,6414
HTI,GMY,8097
HTI,GFR,7682
HTI,GDR,8097
HTI,POL,8610
HTI,AUH,8375
HTI,AUT,8375
HTI,HUN,8606
HTI,CZE,8202
HTI,CZE,8202
HTI,SVK,8436
HTI,ITA,8244
HTI,SNM,8168
HTI,MLT,8532
HTI,ALB,8827
HTI,SRB,8790
HTI,MNE,8742
HTI,MKD,8932
HTI,HRV,8418
HTI,YUG,8790
HTI,BHI,8664
HTI,SLN,8283
HTI,GRC,9242
HTI,CYP,10166
HTI,BGR,9075
HTI,MDA,9306
HTI,ROU,9224
HTI,RUS,9511
HTI,EST,8621
HTI,LVA,8681
HTI,LTU,8827
HTI,UKR,9298
HTI,BLR,8997
HTI,ARM,10778
HTI,GEO,10799
HTI,AZE,11155
HTI,FIN,8601
HTI,SWE,8250
HTI,NOR,7834
HTI,DNK,7986
HTI,ISL,6287
HTI,CPV,5121
HTI,STP,8843
HTI,GNB,6121
HTI,GNQ,9123
HTI,GNB,5961
HTI,MLI,6899
HTI,SEN,5847
HTI,BEN,8210
HTI,MRT,5916
HTI,NER,7935
HTI,CIV,7367
HTI,GIN,6393
HTI,BFA,7582
HTI,LBR,6790
HTI,SLE,6460
HTI,GHA,7981
HTI,TGO,8054
HTI,CMR,9243
HTI,NGA,8281
HTI,GAB,9141
HTI,CAF,9963
HTI,TCD,9301
HTI,COG,9900
HTI,COD,9900
HTI,UGA,11560
HTI,KEN,12053
HTI,TAZ,12495
HTI,ZAN,12484
HTI,BDI,11337
HTI,RWA,11356
HTI,SOM,12820
HTI,DJI,12166
HTI,ETH,11843
HTI,ERI,11587
HTI,AGO,9819
HTI,MOZ,12336
HTI,ZMB,11647
HTI,ZWE,11960
HTI,MWI,12122
HTI,ZAF,11904
HTI,TRA,11904
HTI,OFS,11799
HTI,NAM,10718
HTI,LSO,11888
HTI,BWA,11648
HTI,SWZ,12205
HTI,MDG,13706
HTI,COM,13074
HTI,MUS,14778
HTI,SEY,14154
HTI,MAR,6639
HTI,DZA,7503
HTI,TUN,8138
HTI,LBY,8533
HTI,SDN,10984
HTI,IRN,11595
HTI,TUR,9941
HTI,IRQ,11167
HTI,EGY,10217
HTI,SYR,10509
HTI,LBN,10437
HTI,JOR,10574
HTI,ISR,10432
HTI,SAU,11883
HTI,YAR,12110
HTI,YEM,12110
HTI,YPR,12335
HTI,KWT,11698
HTI,BHR,12152
HTI,QAT,12178
HTI,ARE,12541
HTI,OMN,12936
HTI,AFG,12866
HTI,TKM,11937
HTI,TJK,12510
HTI,KGZ,12450
HTI,UZB,12281
HTI,KAZ,12471
HTI,CHN,13520
HTI,TBT,14348
HTI,MNG,12694
HTI,TWN,14919
HTI,KOR,13486
HTI,PRK,13321
HTI,KOR,13486
HTI,JPN,13135
HTI,IND,13870
HTI,BTN,14565
HTI,PAK,13174
HTI,BGD,15003
HTI,MMR,15941
HTI,LKA,15895
HTI,NPL,14378
HTI,MDV,15496
HTI,THA,16388
HTI,KHM,16684
HTI,LAO,15991
HTI,VNM,16730
HTI,DRV,15590
HTI,RVN,16730
HTI,MYS,17505
HTI,SGP,17774
HTI,BRN,17316
HTI,PHL,16083
HTI,IDN,18596
HTI,ETM,17768
HTI,AUS,15545
HTI,PNG,15602
HTI,NZL,13243
HTI,VAN,13730
HTI,SLB,14346
HTI,FJI,12585
HTI,MSI,12713
HTI,PAL,15867
HTI,FSM,13775
HTI,WSM,13111
DOM,USA,2358
DOM,CAN,3027
DOM,BHS,891
DOM,CUB,1381
DOM,HTI,246
DOM,JAM,723
DOM,TTO,1275
DOM,BRB,1266
DOM,DMA,1079
DOM,GRN,1140
DOM,SLU,1076
DOM,SVG,1106
DOM,AAB,882
DOM,SKN,777
DOM,BLZ,1924
DOM,MEX,3063
DOM,GTM,2223
DOM,HND,1909
DOM,SLN,2109
DOM,NIC,1885
DOM,CRI,1793
DOM,PAN,1471
DOM,COL,1602
DOM,VEN,993
DOM,GUY,1815
DOM,SUR,2135
DOM,ECU,2252
DOM,PER,3477
DOM,BRA,4461
DOM,BOL,3846
DOM,PRY,5025
DOM,CHL,5729
DOM,ARG,5963
DOM,URY,6024
DOM,UK,7036
DOM,IRL,6620
DOM,NLD,7362
DOM,BEL,7328
DOM,LUX,7460
DOM,FRA,7183
DOM,MNC,7596
DOM,LIE,7726
DOM,CHE,7569
DOM,ESP,6700
DOM,AND,7127
DOM,PRT,6221
DOM,GMY,7953
DOM,GFR,7530
DOM,GDR,7953
DOM,POL,8469
DOM,AUH,8218
DOM,AUT,8218
DOM,HUN,8447
DOM,CZE,8051
DOM,CZE,8051
DOM,SVK,8279
DOM,ITA,8063
DOM,SNM,7995
DOM,MLT,8338
DOM,ALB,8650
DOM,SRB,8623
DOM,MNE,8569
DOM,MKD,8759
DOM,HRV,8251
DOM,YUG,8623
DOM,BHI,8492
DOM,SLN,8119
DOM,GRC,9058
DOM,CYP,9982
DOM,BGR,8903
DOM,MDA,9154
DOM,ROU,9060
DOM,RUS,9393
DOM,EST,8508
DOM,LVA,8557
DOM,LTU,8696
DOM,UKR,9157
DOM,BLR,8864
DOM,ARM,10621
DOM,GEO,10643
DOM,AZE,11005
DOM,FIN,8491
DOM,SWE,8134
DOM,NOR,7716
DOM,DNK,7853
DOM,ISL,6206
DOM,CPV,4877
DOM,STP,8597
DOM,GNB,5875
DOM,GNQ,8877
DOM,GNB,5716
DOM,MLI,6655
DOM,SEN,5603
DOM,BEN,7965
DOM,MRT,5676
DOM,NER,7694
DOM,CIV,7121
DOM,GIN,6147
DOM,BFA,7339
DOM,LBR,6544
DOM,SLE,6214
DOM,GHA,7735
DOM,TGO,7808
DOM,CMR,8997
DOM,NGA,8035
DOM,GAB,8894
DOM,CAF,9719
DOM,TCD,9063
DOM,COG,9653
DOM,COD,9653
DOM,UGA,11316
DOM,KEN,11810
DOM,TAZ,12249
DOM,ZAN,12238
DOM,BDI,11091
DOM,RWA,11111
DOM,SOM,12582
DOM,DJI,11940
DOM,ETH,11611
DOM,ERI,11365
DOM,AGO,9574
DOM,MOZ,12101
DOM,ZMB,11402
DOM,ZWE,11717
DOM,MWI,11876
DOM,ZAF,11669
DOM,TRA,11669
DOM,OFS,11570
DOM,NAM,10482
DOM,LSO,11659
DOM,BWA,11412
DOM,SWZ,11970
DOM,MDG,13461
DOM,COM,12828
DOM,MUS,14533
DOM,SEY,13914
DOM,MAR,6431
DOM,DZA,7305
DOM,TUN,7942
DOM,LBY,8328
DOM,SDN,10757
DOM,IRN,11434
DOM,TUR,9768
DOM,IRQ,10991
DOM,EGY,10019
DOM,SYR,10323
DOM,LBN,10251
DOM,JOR,10383
DOM,ISR,10242
DOM,SAU,11686
DOM,YAR,11892
DOM,YEM,11892
DOM,YPR,12112
DOM,KWT,11515
DOM,BHR,11967
DOM,QAT,11991
DOM,ARE,12355
DOM,OMN,12755
DOM,AFG,12737
DOM,TKM,11793
DOM,TJK,12391
DOM,KGZ,12356
DOM,UZB,12171
DOM,KAZ,12386
DOM,CHN,13568
DOM,TBT,14282
DOM,MNG,12707
DOM,TWN,15006
DOM,KOR,13576
DOM,PRK,13404
DOM,KOR,13576
DOM,JPN,13269
DOM,IND,13749
DOM,BTN,14487
DOM,PAK,13053
DOM,BGD,14920
DOM,MMR,15872
DOM,LKA,15713
DOM,NPL,14282
DOM,MDV,15288
DOM,THA,16342
DOM,KHM,16668
DOM,LAO,15966
DOM,VNM,16730
DOM,DRV,15590
DOM,RVN,16729
DOM,MYS,17444
DOM,SGP,17730
DOM,BRN,17396
DOM,PHL,16188
DOM,IDN,18575
DOM,ETM,17991
DOM,AUS,15740
DOM,PNG,15848
DOM,NZL,13427
DOM,VAN,13972
DOM,SLB,14593
DOM,FJI,12822
DOM,MSI,12950
DOM,PAL,16058
DOM,FSM,14009
DOM,WSM,13354
JAM,USA,2315
JAM,CAN,3039
JAM,BHS,700
JAM,CUB,810
JAM,HTI,480
JAM,DOM,723
JAM,TTO,1856
JAM,BRB,1927
JAM,DMA,1731
JAM,GRN,1753
JAM,SLU,1738
JAM,SVG,1753
JAM,AAB,1596
JAM,SKN,1493
JAM,BLZ,1202
JAM,MEX,2354
JAM,GTM,1503
JAM,HND,1199
JAM,SLN,1396
JAM,NIC,1207
JAM,CRI,1189
JAM,PAN,1041
JAM,COL,1510
JAM,VEN,1379
JAM,GUY,2373
JAM,SUR,2710
JAM,ECU,2005
JAM,PER,3336
JAM,BRA,4870
JAM,BOL,3905
JAM,PRY,5221
JAM,CHL,5711
JAM,ARG,6099
JAM,URY,6187
JAM,UK,7555
JAM,IRL,7116
JAM,NLD,7871
JAM,BEL,7855
JAM,LUX,7989
JAM,FRA,7729
JAM,MNC,8177
JAM,LIE,8277
JAM,CHE,8130
JAM,ESP,7314
JAM,AND,7721
JAM,PRT,6849
JAM,GMY,8456
JAM,GFR,8056
JAM,GDR,8456
JAM,POL,8964
JAM,AUH,8755
JAM,AUT,8755
JAM,HUN,8988
JAM,CZE,8572
JAM,CZE,8572
JAM,SVK,8814
JAM,ITA,8659
JAM,SNM,8571
JAM,MLT,8966
JAM,ALB,9236
JAM,SRB,9185
JAM,MNE,9146
JAM,MKD,9336
JAM,HRV,8812
JAM,YUG,9185
JAM,BHI,9065
JAM,SLN,8674
JAM,GRC,9659
JAM,CYP,10583
JAM,BGR,9476
JAM,MDA,9677
JAM,ROU,9613
JAM,RUS,9825
JAM,EST,8930
JAM,LVA,9009
JAM,LTU,9165
JAM,UKR,9651
JAM,BLR,9338
JAM,ARM,11154
