V1	V2	V3	V4	V5	v5ny	global_MF	ZV3	ZV4	Zv5ny	lokal_MF	FAC1_1	FAC1_2
Brazil	2006	3382,4545	3096	0,0050906919	5,0906919462	0,1887643992	0,4570085175	0,4921496369	-0,6652181249	0,8258268101	0,8258268101	0,1887643992
Brazil	2007	3446,6887	3106	0,0053819509	5,3819508615	0,2189741133	0,5019011757	0,5124607454	-0,6570298549	0,9653114539	0,9653114539	0,2189741133
Brazil	2008	3621,3292	3178	0,0050115345	5,0115344974	0,3291478699	0,6239557244	0,6587007262	-0,6674435076	1,2333002534	1,2333002534	0,3291478699
Brazil	2009	3663,9435	3166	0,0049467676	4,9467676086	0,3308632413	0,6537384446	0,6343273961	-0,6692643232	1,231028488	1,231028488	0,3308632413
Brazil	2010	3862,8073	3230	0,005258763	5,2587630498	0,4474676239	0,7927224222	0,7643184901	-0,6604930796	1,6316985747	1,6316985747	0,4474676239
Bulgaria	1986	3802,5693	3657	0,0155969554	15,5969554411	0,8894016029	0,7506226693	1,6316028209	-0,3698516414	-1,1544170642	-1,1544170642	0,8894016029
Bulgaria	1987	3943,0734	3678	0,0192658609	19,2658608869	0,9819965866	0,8488196196	1,6742561487	-0,2667063414	0,5993655028	0,5993655028	0,9819965866
Bulgaria	1988	3932,7612	3700	0,017519184	17,5191840447	0,98213536	0,8416125232	1,7189405873	-0,3158113155	0,5550515614	0,5550515614	0,98213536
Burkina Faso	1994	1431,3713	2344	0,0026560072	2,6560071763	-1,0562123167	-0,906584574	-1,0352457185	-0,7336653211	-0,2816850141	-0,2816850141	-1,0562123167
Burkina Faso	1995	1409,3638	2337	0,0023738851	2,3738851342	-1,0712721573	-0,9219654019	-1,0494634944	-0,7415967227	-0,1923906797	-0,1923906797	-1,0712721573
Burkina Faso	1996	1471,3745	2338	0,0031175557	3,1175556811	-1,0453822666	-0,8786267262	-1,0474323836	-0,7206896367	-0,4575399513	-0,4575399513	-1,0453822666
Burkina Faso	1997	1417,3038	2311	0,0030561991	3,0561990646	-1,0851204984	-0,9164162131	-1,1022723764	-0,7224145781	-0,8097548237	-0,8097548237	-1,0851204984
Burkina Faso	1998	1347,6161	2285	0	3,3	-1,1258749909	-0,9651202695	-1,1550812584	-0,7155605119	-1,5134263013	-1,5134263013	-1,1258749909
Burkina Faso	1999	1376,7821	2343	0,003462966	3,4629659668	-1,0659618407	-0,9447364355	-1,0372768294	-0,7109789892	-1,3013974371	-1,3013974371	-1,0659618407
Burkina Faso	2000	1236,1726	2318	0,0028821777	2,8821776808	-1,134251935	-1,0430070489	-1,0880546005	-0,7273069058	-1,7174762472	-1,7174762472	-1,134251935
Burkina Faso	2001	1371,9958	2332	0,0026350743	2,6350742542	-1,0842716624	-0,948081534	-1,0596190486	-0,7342538161	-0,6540774048	-0,6540774048	-1,0842716624
Burkina Faso	2002	1360,8418	2411	0,0025592748	2,5592748432	-1,0203942211	-0,9558769563	-0,8991612919	-0,736384793	-0,4129754382	-0,4129754382	-1,0203942211
Burkina Faso	2003	1489,8756	2492	0,0021427643	2,14276429	-0,9163948948	-0,8656964872	-0,7346413135	-0,7480943088	0,9608998348	0,9608998348	-0,9163948948
Burkina Faso	2004	1494,3341	2505	0,001871485	1,8714850374	-0,9063491242	-0,8625804848	-0,7082368725	-0,755720883	1,2598688097	1,2598688097	-0,9063491242
Burkina Faso	2005	1534,2449	2463	0	1,9	-0,930363612	-0,8346872145	-0,793543528	-0,7549192313	1,3440927633	1,3440927633	-0,930363612
Burkina Faso	2006	1501,0641	2559	0	2,2	-0,8550196825	-0,8578769532	-0,5985568868	-0,74648522	1,1841520885	1,1841520885	-0,8550196825
Burkina Faso	2007	1449,6469	2546	0	2,5	-0,8786977028	-0,8938119347	-0,6249613278	-0,7380512087	0,5809975157	0,5809975157	-0,8786977028
Burkina Faso	2008	1434,6255	2588	0	2,6	-0,8461650915	-0,9043102452	-0,5396546723	-0,7352398716	0,5348025396	0,5348025396	-0,8461650915
Burkina Faso	2009	1451,7013	2639	0,0028564819	2,8564819392	-0,7950000377	-0,8923761345	-0,4360680192	-0,7280292997	0,5732088228	0,5732088228	-0,7950000377
Burkina Faso	2010	1472,2492	2681	0,0027652268	2,7652267884	-0,7536658975	-0,8780154069	-0,3507613638	-0,7305947896	0,9027009228	0,9027009228	-0,7536658975
