"China, Hong Kong SAR",Bovine Meat,Protein supply quantity (g/capita/day),2.47,4.41,4.39,5.53,4.63,8.05
"China, Hong Kong SAR",Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.07,0.17,0.2,0.19,0.26,0.73
"China, Hong Kong SAR",Pigmeat,Protein supply quantity (g/capita/day),4.6,10.59,12.03,12.76,14.7,15.95
"China, Hong Kong SAR",Poultry Meat,Protein supply quantity (g/capita/day),2.7,5.19,7.58,11.69,15.06,23.21
"China, Hong Kong SAR",Meat,Protein supply quantity (g/capita/day),12.37,21.19,26.9,31.43,35.64,49.32
"China, Hong Kong SAR",Offals,Protein supply quantity (g/capita/day),1.73,4.28,4.25,3.56,5.57,14.4
"China, Macao SAR",Bovine Meat,Protein supply quantity (g/capita/day),1.41,2.15,3.34,4.12,2.73,5.23
"China, Macao SAR",Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.0,0.0,0.18,0.17,0.24,0.36
"China, Macao SAR",Pigmeat,Protein supply quantity (g/capita/day),3.29,5.44,11.88,11.0,13.07,14.22
"China, Macao SAR",Poultry Meat,Protein supply quantity (g/capita/day),3.57,3.37,7.13,8.0,7.78,12.14
"China, Macao SAR",Meat,Protein supply quantity (g/capita/day),10.66,15.61,25.39,24.49,24.68,32.35
"China, Macao SAR",Offals,Protein supply quantity (g/capita/day),0.81,1.0,1.52,2.52,1.86,2.93
"China, mainland",Bovine Meat,Protein supply quantity (g/capita/day),0.03,0.07,0.1,0.37,1.45,1.77
"China, mainland",Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.06,0.11,0.18,0.38,0.78,1.1
"China, mainland",Pigmeat,Protein supply quantity (g/capita/day),0.62,2.32,3.57,6.03,8.44,10.78
"China, mainland",Poultry Meat,Protein supply quantity (g/capita/day),0.3,0.33,0.43,1.07,2.99,3.99
"China, mainland",Meat,Protein supply quantity (g/capita/day),1.05,2.9,4.36,7.96,13.99,18.24
"China, mainland",Offals,Protein supply quantity (g/capita/day),0.08,0.24,0.32,0.65,1.24,1.68
"China, Taiwan Province of",Bovine Meat,Protein supply quantity (g/capita/day),0.12,0.19,0.51,1.2,1.41,2.12
"China, Taiwan Province of",Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.01,0.01,0.07,0.28,0.42,0.37
"China, Taiwan Province of",Pigmeat,Protein supply quantity (g/capita/day),5.03,7.94,9.48,12.36,13.12,11.75
"China, Taiwan Province of",Poultry Meat,Protein supply quantity (g/capita/day),1.42,1.94,4.88,7.61,10.74,11.3
"China, Taiwan Province of",Meat,Protein supply quantity (g/capita/day),6.57,10.07,14.96,21.46,25.71,25.57
"China, Taiwan Province of",Offals,Protein supply quantity (g/capita/day),0.42,0.58,0.95,1.51,1.63,1.61
Colombia,Bovine Meat,Protein supply quantity (g/capita/day),7.42,7.58,8.16,7.42,6.41,6.46
Colombia,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.13,0.17,0.17,0.13,0.13,0.09
Colombia,Pigmeat,Protein supply quantity (g/capita/day),1.44,1.02,1.21,1.24,0.81,1.58
Colombia,Poultry Meat,Protein supply quantity (g/capita/day),0.54,0.6,1.18,3.38,4.71,7.22
Colombia,Meat,Protein supply quantity (g/capita/day),9.62,9.52,10.84,12.31,12.15,15.42
Colombia,Offals,Protein supply quantity (g/capita/day),1.77,1.87,2.02,1.86,1.49,1.48
Congo,Bovine Meat,Protein supply quantity (g/capita/day),1.16,1.63,1.62,3.65,0.34,1.13
Congo,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.09,0.08,0.13,0.19,0.13,0.15
Congo,Pigmeat,Protein supply quantity (g/capita/day),0.38,0.4,0.19,0.5,0.69,0.67
Congo,Poultry Meat,Protein supply quantity (g/capita/day),0.34,0.31,0.88,2.1,1.46,7.72
Congo,Meat,Protein supply quantity (g/capita/day),5.31,5.39,5.57,8.7,5.06,14.46
Congo,Offals,Protein supply quantity (g/capita/day),0.08,0.1,0.19,0.42,0.64,1.47
Costa Rica,Bovine Meat,Protein supply quantity (g/capita/day),7.41,6.58,7.4,8.59,6.3,7.25
Costa Rica,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.0,0.0,0.0,0.0,0.0,0.01
Costa Rica,Pigmeat,Protein supply quantity (g/capita/day),0.96,1.12,0.96,1.35,2.18,2.59
Costa Rica,Poultry Meat,Protein supply quantity (g/capita/day),0.33,0.45,1.33,4.37,5.58,6.27
Costa Rica,Meat,Protein supply quantity (g/capita/day),8.71,8.16,9.69,14.31,14.08,16.11
Costa Rica,Offals,Protein supply quantity (g/capita/day),1.1,1.41,1.66,1.64,1.11,0.8
C�te d'Ivoire,Bovine Meat,Protein supply quantity (g/capita/day),1.77,3.17,2.47,2.42,0.84,0.76
C�te d'Ivoire,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.6,0.66,0.53,0.32,0.25,0.27
C�te d'Ivoire,Pigmeat,Protein supply quantity (g/capita/day),0.19,0.28,0.35,0.3,0.14,0.29
C�te d'Ivoire,Poultry Meat,Protein supply quantity (g/capita/day),0.4,0.38,0.86,0.65,0.49,0.61
C�te d'Ivoire,Meat,Protein supply quantity (g/capita/day),9.69,10.71,9.28,8.21,5.5,6.16
C�te d'Ivoire,Offals,Protein supply quantity (g/capita/day),0.66,1.08,0.77,0.59,0.84,1.5
Cuba,Bovine Meat,Protein supply quantity (g/capita/day),7.46,8.12,5.51,3.22,2.7,2.38
Cuba,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.07,0.06,0.07,0.24,0.32,0.53
