V1,V2,V3,V4,V5,v5ny,FAC1_1,ZV3,ZV4,Zv5ny,FAC1_2
Spain,2000,5124.9933,3360,0.049917092893,49.917092893,1.3341119905622,1.6748519540224,1.02836289997922,0.59500311566249,1.3341119905622
Spain,2001,5134.6046,3332,0.0503021385943,50.3021385943,1.31636670708909,1.6815691982076,0.971491796320187,0.605828048316113,1.31636670708909
Spain,1995,4683.5354,3217,0.0507667631753,50.7667631753,1.08833600503474,1.36632131698258,0.737914049149152,0.618890211538718,1.08833600503474
Spain,1999,5179.9604,3331,0.0511683357878,51.1683357878,1.33671398808775,1.71326792614394,0.969460685475221,0.630179771378434,1.33671398808775
Spain,2010,4522.5231,3183,0.054134202988,54.134202988,1.04178703705964,1.25379138493187,0.668856280420324,0.713560296322251,1.04178703705964
Spain,2003,5221.2545,3297,0.0556279399232,55.6279399232,1.3598299398088,1.74212797141437,0.900402916746393,0.755554276961892,1.3598299398088
Spain,2004,5034.0577,3246,0.0562511466733,56.2511466733,1.26625371045836,1.61129794672613,0.796816263653152,0.77307471953881,1.26625371045836
Spain,2009,4682.7477,3205,0.0594974935815,59.4974935815,1.15631226061716,1.36577080110599,0.713540719009565,0.864340474572346,1.15631226061716
Spain,2008,4723.9303,3208,0.0602773482058,60.2773482058,1.17808447617018,1.39455292010976,0.719634051544462,0.886264816953425,1.17808447617018
Spain,2002,5284.0978,3359,0.0610632441986,61.0632441986,1.48055581907494,1.78604854318958,1.02633178913426,0.908359002568508,1.48055581907494
Spain,2006,4923.5142,3227,0.0615455427843,61.5455427843,1.2648475407583,1.5340401686331,0.758225157598807,0.921918041642346,1.2648475407583
Spain,2007,4946.0389,3223,0.0640557329372,64.0557329372,1.29064909744614,1.54978246260979,0.750100714218945,0.992487948698026,1.29064909744614
Spain,2005,4970.5532,3220,0.0679962192441,67.9962192441,1.33076103931209,1.56691526869523,0.744007381684048,1.10326830217477,1.3307610393121
